year,round,name,date,time,raceName
2024,1,Bahrain Grand Prix,2024-03-02,15:00:00Z,Bahrain Grand Prix
2024,2,Saudi Arabian Grand Prix,2024-03-09,17:00:00Z,Saudi Arabian Grand Prix
2024,3,Australian Grand Prix,2024-03-24,04:00:00Z,Australian Grand Prix
2024,4,Japanese Grand Prix,2024-04-07,05:00:00Z,Japanese Grand Prix
2024,5,Chinese Grand Prix,2024-04-21,07:00:00Z,Chinese Grand Prix
2024,6,Miami Grand Prix,2024-05-05,20:00:00Z,Miami Grand Prix
2024,7,Emilia Romagna Grand Prix,2024-05-19,13:00:00Z,Emilia Romagna Grand Prix
2024,8,Monaco Grand Prix,2024-05-26,13:00:00Z,Monaco Grand Prix
2024,9,Canadian Grand Prix,2024-06-09,18:00:00Z,Canadian Grand Prix
2024,10,Spanish Grand Prix,2024-06-23,13:00:00Z,Spanish Grand Prix
2024,11,Austrian Grand Prix,2024-06-30,13:00:00Z,Austrian Grand Prix
2024,12,British Grand Prix,2024-07-07,14:00:00Z,British Grand Prix
2024,13,Hungarian Grand Prix,2024-07-21,13:00:00Z,Hungarian Grand Prix
2024,14,Belgian Grand Prix,2024-07-28,13:00:00Z,Belgian Grand Prix
2024,15,Dutch Grand Prix,2024-08-25,13:00:00Z,Dutch Grand Prix
2024,16,Italian Grand Prix,2024-09-01,13:00:00Z,Italian Grand Prix
2024,17,Azerbaijan Grand Prix,2024-09-15,11:00:00Z,Azerbaijan Grand Prix
2024,18,Singapore Grand Prix,2024-09-22,12:00:00Z,Singapore Grand Prix
2024,19,United States Grand Prix,2024-10-20,19:00:00Z,United States Grand Prix
2024,20,Mexico City Grand Prix,2024-10-27,20:00:00Z,Mexico City Grand Prix
2024,21,São Paulo Grand Prix,2024-11-03,17:00:00Z,São Paulo Grand Prix
2024,22,Las Vegas Grand Prix,2024-11-23,06:00:00Z,Las Vegas Grand Prix
2024,23,Qatar Grand Prix,2024-12-01,17:00:00Z,Qatar Grand Prix
2024,24,Abu Dhabi Grand Prix,2024-12-08,13:00:00Z,Abu Dhabi Grand Prix
