Driver Code,Driver Permanent Number,Constructor ID,Points,Position,Wins
VER,33,red_bull,51,1,2
PER,11,red_bull,36,2,0
LEC,16,ferrari,28,3,0
RUS,63,mercedes,18,4,0
PIA,81,mclaren,16,5,0
SAI,55,ferrari,15,6,0
ALO,14,aston_martin,12,7,0
NOR,4,mclaren,12,8,0
HAM,44,mercedes,8,9,0
BEA,38,ferrari,6,10,0
HUL,27,haas,1,11,0
STR,18,aston_martin,1,12,0
ALB,23,williams,0,13,0
ZHO,24,sauber,0,14,0
MAG,20,haas,0,15,0
RIC,3,rb,0,16,0
OCO,31,alpine,0,17,0
TSU,22,rb,0,18,0
SAR,2,williams,0,19,0
BOT,77,sauber,0,20,0
GAS,10,alpine,0,21,0
